iter	Logloss
0	0.6338369888
1	0.5671888613
2	0.5233300396
3	0.4806172938
4	0.4521114773
5	0.4250117951
6	0.400520388
7	0.3826925636
8	0.3634308449
9	0.3471403463
10	0.3326623768
11	0.3204430538
12	0.3089806307
13	0.2998307019
14	0.2893551937
15	0.2827460103
16	0.2745264262
17	0.2641836718
18	0.2583839939
19	0.2515675896
20	0.2477248543
21	0.2402745184
22	0.2366524463
23	0.2340925636
24	0.23227523
25	0.2294206082
26	0.2265385035
27	0.2253592443
28	0.2242389818
29	0.2223244139
30	0.2196439875
31	0.2188587333
32	0.217348708
33	0.2144843783
34	0.2097546959
35	0.2080438029
36	0.2046791682
37	0.202409926
38	0.2006886738
39	0.1995250531
40	0.1984859506
41	0.1967167037
42	0.1961999284
43	0.1959455514
44	0.1957576506
45	0.1950129196
46	0.1935464443
47	0.1928567761
48	0.1911987833
49	0.1899526302
50	0.1892093811
51	0.1884801865
52	0.1873845997
53	0.1871039369
54	0.1863194854
55	0.1854076346
56	0.1851231386
57	0.1845062267
58	0.1842682988
59	0.1837382028
60	0.1835599768
61	0.1825641152
62	0.1822847707
63	0.1818429076
64	0.1809329351
65	0.1804365523
66	0.1799101501
67	0.1794539491
68	0.1792222361
69	0.1789779461
70	0.1788246631
71	0.1784250879
72	0.1781197281
73	0.1776875951
74	0.1774289816
75	0.1771926784
76	0.1768527471
77	0.1766712195
78	0.1765103284
79	0.1761829455
80	0.1760199556
81	0.1755260803
82	0.1754207461
83	0.175316692
84	0.1747543736
85	0.174347422
86	0.1737605105
87	0.1736517536
88	0.1731125022
89	0.1729543948
90	0.1728514403
91	0.1725669084
92	0.1721897968
93	0.172055421
94	0.1719672808
95	0.1718278818
96	0.1716946238
97	0.1715891786
98	0.1714598805
99	0.1710490114
100	0.1707865903
101	0.1707097543
102	0.1706313748
103	0.1701824944
104	0.1699816539
105	0.1696985137
106	0.1694720439
107	0.1692341385
108	0.1690500625
109	0.1689092468
110	0.1683012919
111	0.1681898371
112	0.1678691241
113	0.1677693545
114	0.1676681224
115	0.1675132346
116	0.1674392251
117	0.1673233796
118	0.1671854924
119	0.167111637
120	0.1669484746
121	0.1666947271
122	0.1665502568
123	0.1664738769
124	0.1664210723
125	0.1662931278
126	0.1660242948
127	0.1657969942
128	0.1656670615
129	0.1654372983
130	0.1653870602
131	0.1653090381
132	0.1651213362
133	0.1649961962
134	0.1649010336
135	0.1646412831
136	0.1644693632
137	0.1640774333
138	0.1640122862
139	0.1638828981
140	0.1638174895
141	0.1635554393
142	0.163440959
143	0.1631359653
144	0.1628867895
145	0.1627564314
146	0.1627216404
147	0.1625814293
148	0.162529073
149	0.1623910781
150	0.1621912701
151	0.1621612696
152	0.1620973031
153	0.1620374094
154	0.1619334841
155	0.1618514398
156	0.1617526976
157	0.1616110262
158	0.1615483
159	0.1614671262
160	0.1613917896
161	0.1613036451
162	0.1611800224
163	0.1611476749
164	0.1610467379
165	0.1610002957
166	0.1609173814
167	0.1608148455
168	0.1607622685
169	0.1607225344
170	0.1606558726
171	0.1605490491
172	0.1604892219
173	0.1604233928
174	0.1603096973
175	0.1602297554
176	0.1601608622
177	0.1600904187
178	0.1599224516
179	0.159877674
180	0.1598085941
181	0.1596610531
182	0.1596049883
183	0.1595323529
184	0.1594003307
185	0.1593458308
186	0.1592064156
187	0.159112688
188	0.1589202721
189	0.1588590553
190	0.1588188086
191	0.1587399113
192	0.1587015028
193	0.1586227156
194	0.1584693749
195	0.1583902384
196	0.158334333
197	0.1582927749
198	0.1582423379
199	0.1581950553
200	0.158113047
201	0.1579310713
202	0.1578035169
203	0.1577447282
204	0.1576585704
205	0.1576129004
206	0.1575846421
207	0.1575382648
208	0.1574423768
209	0.1573839877
210	0.1573288048
211	0.1572714688
212	0.1572025598
213	0.1571517489
214	0.1570866872
215	0.1570329118
216	0.1568676393
217	0.1568109002
218	0.1567404155
219	0.1566830666
220	0.1565823445
221	0.1564015686
222	0.1563491842
223	0.1562653797
224	0.1561404711
225	0.1560801519
226	0.1559518831
227	0.1557927338
228	0.1557288859
229	0.1556612456
230	0.1556039653
231	0.1555472099
232	0.1555017319
233	0.1554389546
234	0.1553762837
235	0.1552923871
236	0.1552477091
237	0.1552154686
238	0.1551895436
239	0.1551248064
240	0.1550810304
241	0.155039744
242	0.1549503886
243	0.1548379819
244	0.154769548
245	0.1546268773
246	0.154565525
247	0.1545386448
248	0.1543992608
249	0.1543423496
250	0.1542778188
251	0.1542046592
252	0.1541649329
253	0.1541269637
254	0.1540824656
255	0.1540282397
256	0.1539516092
257	0.1538835936
258	0.1538302762
259	0.1537749237
260	0.1536520326
261	0.1535942468
262	0.1535558861
263	0.1535044122
264	0.1534222731
265	0.1533825074
266	0.1533479587
267	0.1532786397
268	0.1531794572
269	0.1531212371
270	0.1530733459
271	0.1530107414
272	0.1529825767
273	0.1529248551
274	0.1528745942
275	0.1528148479
276	0.1527533725
277	0.1527126679
278	0.1526547847
279	0.1526047478
280	0.152530676
281	0.1524885616
282	0.1524366053
283	0.152378346
284	0.1523204661
285	0.1522180283
286	0.1521751883
287	0.1521320236
288	0.1520807583
289	0.1520519971
290	0.1519958268
291	0.1519037741
292	0.1518592512
293	0.1518254563
294	0.1517613313
295	0.1517148797
296	0.1516934862
297	0.1516561367
298	0.151574645
299	0.1515265833
300	0.1514737304
301	0.1514238828
302	0.1513831109
303	0.151348433
304	0.1513096522
305	0.1512724253
306	0.1512326114
307	0.1512153115
308	0.151184075
309	0.1511535628
310	0.1510382057
311	0.1509370852
312	0.1508581191
313	0.150826186
314	0.1507888821
315	0.1507545233
316	0.1507176911
317	0.1506771288
318	0.1506311746
319	0.1505781619
320	0.1505410559
321	0.1504820462
322	0.1504487267
323	0.1504151629
324	0.1503865037
325	0.1503237749
326	0.1502882703
327	0.1502489119
328	0.150209059
329	0.1501611491
330	0.150090942
331	0.1500748096
332	0.1500148781
333	0.1499526056
334	0.1499339287
335	0.1498859545
336	0.1498243749
337	0.1497552178
338	0.1497265322
339	0.1496771578
340	0.1496186765
341	0.1495854805
342	0.1495564506
343	0.149514726
344	0.1494676201
345	0.1494407713
346	0.1494087098
347	0.1493688546
348	0.1493260863
349	0.1492811864
350	0.1492283378
351	0.1491353413
352	0.1491147477
353	0.1490422794
354	0.1490104452
355	0.148977659
356	0.1489589191
357	0.1489172279
358	0.1488751705
359	0.1487769326
360	0.1486943364
361	0.1486413467
362	0.1486038073
363	0.1485821144
364	0.1485569516
365	0.1485035656
366	0.148461299
367	0.1484415635
368	0.1484175878
369	0.1483761081
370	0.1483391134
371	0.1483061045
372	0.1482699597
373	0.1482539699
374	0.1482215173
375	0.1481579388
376	0.1481258634
377	0.148104696
378	0.1480492957
379	0.1480155251
380	0.1479643401
381	0.1479350645
382	0.1478753347
383	0.1478415286
384	0.1478166246
385	0.1477980184
386	0.1477686925
387	0.1477348973
388	0.1477103756
